date, pnl, longsize, shortsize, ret, holdpnl, tradepnl, poscov, negcov, pospnl, negpnl, IC, index_ret,rankpnl1, rankpnl2, rankpnl3, rankpnl4, rankpnl5, rankpnl6, rankpnl7, rankpnl8, rankpnl9, rankpnl10
20210408,54095.37,10000000.0,-10000000.0,0.002705,-20812.956327356107,75130.30553251534,998,3086,22101.22,36260.75,-0.006675,3482.5548,-2.012815,-2.101102,-2.724374,-1.822983,-1.891344,-2.158444,-2.556237,-3.009246,-4.598996,-3.954329
20210409,-50951.53,10000000.0,-10000000.0,-0.002548,59212.8814651858,-109917.79582067768,1001,3087,-8790.23,995.64,0.004994,3450.6772,-0.328675,-0.568224,-0.280297,-0.66259,0.027357,-0.301095,0.984586,1.518857,1.629907,1.436942
20210412,107674.28,10000000.0,-10000000.0,0.005384,54544.36947095957,53345.88565819479,999,3093,17678.66,93806.39,0.016757,3412.9477,-4.124561,-7.372413,-7.410106,-5.337599,-6.10101,-4.673429,-5.198052,-4.783252,-3.08671,-3.068934
20210413,52515.22,10000000.0,-10000000.0,0.002626,-65643.69957351412,118415.4863989433,1004,3092,18897.85,46746.19,-0.01066,3396.47,-3.835155,-3.742415,-3.048765,-1.923401,-1.426751,-3.672568,-2.168111,-2.907742,-2.55411,-4.901683
20210414,-106492.52,10000000.0,-10000000.0,-0.005325,25656.60946907084,-131885.1119890458,1005,3097,-25600.25,-77421.01,0.016898,3416.7212,4.864444,5.845296,4.750205,4.179987,4.732594,4.527497,4.427163,4.081912,5.269756,4.381201
20210415,16006.66,10000000.0,-10000000.0,0.0008,2835.7285300695185,13420.702120385897,1006,3100,5362.13,24107.63,0.000507,3398.9875,-1.040571,-1.427077,-1.71164,-1.776069,-0.584118,-1.743449,-1.932295,-1.699129,-1.17795,-0.518448
20210416,-150054.69,10000000.0,-10000000.0,-0.007503,50511.070762995616,-200258.36257250654,1004,3106,-41773.56,-100121.62,0.031396,3426.6178,5.21136,4.859287,5.930923,5.56492,6.061944,6.538872,7.528336,7.405213,7.871738,7.8708
20210419,-138344.04,10000000.0,-10000000.0,-0.006917,28033.948266413205,-166175.6546013376,1007,3104,-24471.82,-92355.49,0.007875,3477.5485,4.701279,7.053398,5.834903,6.922435,5.594487,4.317846,5.125918,4.379713,4.401284,5.079839
20210420,32938.43,10000000.0,-10000000.0,0.001647,-1434.7116708321028,34598.09807375433,1013,3102,10934.26,23062.0,-0.000891,3472.9427,-0.591621,-0.975686,-1.651953,-2.151959,-1.014084,-1.652923,-1.989527,-1.244101,-2.584406,-1.816137
20210421,13561.23,10000000.0,-10000000.0,0.000678,1396.8057050239004,12406.976545479212,1010,3108,8240.43,18533.94,9.2e-05,3472.9298,-1.554898,-1.705413,-1.992036,-0.766668,-0.825,-0.311759,-1.008803,-0.835442,-1.77658,-1.596427
20210422,-39425.24,10000000.0,-10000000.0,-0.001971,5336.503249605583,-44525.599410877985,1007,3117,-6948.38,-29912.42,0.00335,3465.1138,1.628368,1.756329,2.242518,1.170389,2.279444,1.583707,1.873272,1.905115,0.79415,1.539814
20210423,74569.4,10000000.0,-10000000.0,0.003728,-27812.328405496864,102603.0786124621,1005,3121,25058.75,48892.2,-0.016103,3474.166,-1.824119,-2.057437,-2.365185,-2.75271,-1.8949,-4.089637,-4.696548,-4.766792,-5.132076,-4.389513
20210426,25744.18,10000000.0,-10000000.0,0.001287,-22556.266302322074,48550.31246778148,1001,3118,9374.09,28239.33,-0.006251,3441.1658,-0.640835,-2.43075,-1.810989,-2.388226,-1.16808,-0.246308,-2.51219,-2.713879,-1.926968,-1.502145
20210427,61688.48,10000000.0,-10000000.0,0.003084,-13186.710598714963,75149.77299476933,1004,3124,18481.53,48778.26,-0.005033,3442.6111,-2.359341,-3.778857,-2.633605,-2.193691,-3.011856,-2.75936,-3.094116,-4.051568,-3.234941,-3.811592
20210428,-34731.76,10000000.0,-10000000.0,-0.001737,-13466.367135837838,-20943.160132988658,1003,3116,797.85,-17829.93,-0.002786,3457.0683,2.204668,1.620611,1.004126,1.099668,1.448145,0.211701,0.510928,0.10421,-0.464791,-0.086605
20210429,24220.3,10000000.0,-10000000.0,0.001211,-5205.204679303737,29777.35293253784,1008,3127,6077.04,20388.42,-0.002536,3474.9011,-0.814329,-2.000234,-0.525533,-0.924118,-1.687712,-1.751456,-0.520559,-2.125022,-0.700217,-1.232427
20210430,65381.98,10000000.0,-10000000.0,0.003269,-61192.48828222401,126929.91206773941,1001,3121,21933.54,46988.0,-0.020725,3446.8564,-4.020627,-2.239773,-2.447269,-2.448009,-2.226496,-2.474273,-3.825538,-4.405715,-4.10451,-3.534785
20210506,-47416.32,10000000.0,-10000000.0,-0.002371,6332.107863749107,-53296.108208843034,996,3116,-13496.9,-27003.87,0.002395,3441.2826,4.080671,2.186112,2.535758,1.093376,0.995804,1.199576,0.373597,0.79748,2.345841,2.732899
20210507,37358.91,10000000.0,-10000000.0,0.001868,79338.90753833984,-41601.82677848304,1007,3126,-1384.38,35994.73,0.037222,3418.8741,-0.13974,-2.616209,-1.815129,-2.760905,-3.609443,-2.225533,-2.463741,-1.168666,-0.388559,1.164125
20210510,-50040.45,10000000.0,-10000000.0,-0.002502,72336.40931488253,-122040.19500954192,1006,3129,-21000.05,-27143.12,0.035573,3427.9909,2.163339,0.033951,0.441866,2.226396,1.758899,1.942863,2.892792,2.230644,3.66786,4.535487
20210511,-62381.19,10000000.0,-10000000.0,-0.003119,54815.91472738856,-116879.71229681387,1012,3124,-17250.43,-24153.65,0.008041,3441.8454,-1.535206,0.861308,0.636202,2.01932,2.416746,2.638495,1.251206,4.216566,3.61368,2.698279
20210512,-104104.03,10000000.0,-10000000.0,-0.005205,-9769.834540781543,-94062.50106208646,1017,3124,-22973.35,-70971.99,-0.002946,3462.7513,3.486694,4.307089,4.550253,4.811183,4.35992,4.769965,3.66878,4.34962,4.434802,4.161703
20210513,27435.43,10000000.0,-10000000.0,0.001372,49318.15054102153,-21345.614825218534,1031,3117,-2547.21,39300.13,0.014038,3429.5361,-4.810997,-3.41471,-3.823229,-2.786292,-1.661518,-1.04993,-0.930421,0.391854,0.948005,0.059407
20210514,-122843.14,10000000.0,-10000000.0,-0.006142,-42662.65573140641,-79840.45536242783,1033,3121,-29348.91,-87587.3,-0.022464,3490.3762,3.773126,5.448736,5.661408,5.319409,5.92272,5.301968,5.801225,6.141867,6.237899,3.789555
20210517,60103.64,10000000.0,-10000000.0,0.003005,-121062.75737634175,181436.25917565855,1029,3124,38414.93,39996.1,-0.020181,3517.6158,-0.598853,-1.508696,-1.636909,-2.152773,-1.814221,-3.709681,-4.39585,-6.105475,-6.752252,-7.359021
20210518,-65761.97,10000000.0,-10000000.0,-0.003288,20652.362021138953,-86140.27115376774,1020,3135,-18712.48,-33363.08,0.004541,3529.0144,1.345168,2.261743,2.522633,1.661354,0.951199,1.954026,2.622507,3.710434,4.068861,2.625769
20210519,3200.55,10000000.0,-10000000.0,0.00016,-3451.0453636819802,6970.487852757954,1022,3134,1272.54,5519.37,-0.001781,3510.9647,-1.709327,1.145346,0.311636,0.627923,-0.48513,-0.358917,-1.383409,-1.141629,0.087998,-0.351046
20210520,15906.6,10000000.0,-10000000.0,0.000795,-37404.67084403734,53635.20914425578,1016,3142,9582.06,21197.08,-0.007362,3506.9444,-3.403899,-0.628824,-0.334641,-1.44654,-0.348467,-1.290507,-1.648107,-0.622611,-2.492542,-2.028235
20210521,-30205.26,10000000.0,-10000000.0,-0.00151,17754.541534842487,-47649.76003025567,1014,3158,-5573.86,-9814.13,0.002964,3486.5569,1.871108,0.411487,0.814355,0.963217,0.154067,-0.094632,0.486924,0.279764,1.342329,0.676675
20210524,-63714.59,10000000.0,-10000000.0,-0.003186,11409.895464888388,-74867.78145314904,1011,3166,-16802.4,-41479.46,0.004664,3497.2821,1.687432,1.37397,2.650837,2.858825,3.382894,2.590913,3.067395,2.488908,3.625806,2.846979
20210525,-97408.72,10000000.0,-10000000.0,-0.00487,-36666.44564686972,-60474.44241187039,1014,3162,-15606.24,-60668.02,-0.006393,3581.3418,3.539844,3.247063,2.460576,4.254475,3.898368,4.579126,3.765529,3.649914,3.180715,2.233293
20210526,-73102.97,10000000.0,-10000000.0,-0.003655,7031.321491390921,-79889.0105800146,1017,3167,-15354.72,-48587.53,0.002954,3593.357,2.556358,2.851865,2.826691,2.391683,2.789742,2.859551,4.194492,2.738906,2.898961,3.063246
